Datasheet 3: Test Dataset,,,
,,,
smiles,DD2,,
CN1CCOc2ccccc2C(=O)NCCCCC2(CCN(C(=O)CCc3cn(C)c4ccccc34)CC2)C1=O,0,,
Cc1nnsc1CN(C)C(=O)CN1CCC2(CCCCc3ccccc3OCCCNC2=O)CC1,0,,
Fc1ccccc1CN1CCOCCOc2ccc(-c3cncnc3)cc2Cc2cccc(c2)C1,0,,
COc1cccc(CC(=O)N2CCCCCCCCN(C3CCN(C)CC3)Cc3ccccc32)c1,0,,
COc1ccc(C(C)C)cc1CN1CCC2(CCCCNC(=O)c3cccc(C)c3OCCCNC2=O)CC1,0,,
Cn1c(CCC(=O)N2CCOC3(C/C=C/Cc4ccccc4OCCNC3=O)C2)nc2cc(Cl)ccc21,0,,
CN1CCOc2ccccc2CCCCC2(CCN(C(=O)Cn3c(=O)n(C)c4ccccc43)CC2)C1=O,0,,
CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3cnccn3)CCO2)C1=O,0,,
CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3ncccn3)CCO2)C1=O,0,,
CC(=O)N1CCCN(C)CCN(C(=O)CCn2cnc3c(cnn3C)c2=O)Cc2ccccc21,0,,
Cc1cccc(C2CCCN(C(=O)CN3CCC4(CCCCc5ccccc5OCCCNC4=O)CC3)C2)n1,0,,
CC(C)[C@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)C[C@@H](C(=O)NCCCN2CCOCC2)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
C[C@@H]1NC(=O)C2(CCCCc3ccccc3OCCNC1=O)CCN(Cc1cc3ccccc3nc1N(C)C)CC2,0,,
CC(C)CC(=O)N1CCCCCCCN(Cc2cc(C(C)(C)C)ccc2O)Cc2ccccc21,0,,
CCC1c2cccn2CCN1C(=O)CN1CCC2(CCCCc3ccccc3OCCCNC2=O)CC1,0,,
Cc1cc(CN2CCCCC2)oc1C(=O)N1CCOCCOc2ccc(-c3cccnc3)cc2Cc2cccc(c2)C1,0,,
COc1cccc(C(=O)N2CCCCCCN(C(=O)c3c(Cl)cccc3Cl)Cc3ccccc32)c1,0,,
Cc1ccc2c(c1)OCCCNC(=O)C1(CCCCNC2=O)CCN(C(=O)c2cnc(C3CC3)nc2C)CC1,0,,
CCOc1ccccc1CN1CCCN(C(C)=O)c2ccccc2CN(CC(=O)N(C)C2CCS(=O)(=O)C2)CC1,0,,
CC(C)CC(=O)N1CCCN(C(=O)c2cc(=O)n(C)c(=O)n2C)CCNCc2ccccc21,0,,
O=C(CCc1ccc(-c2ccc(F)cc2)[nH]1)N1CCC2(CCCCc3ccccc3OCCCNC2=O)CC1,0,,
CC(C)CC(=O)N1CCCN(Cc2ccccc2)CCN(C(=O)C(N)CC(C)C)Cc2ccccc21,0,,
N[C@@H](Cc1cccc(F)c1)C(=O)N1CCOCCOc2ccc(-c3cccnc3)cc2Cc2cccc(c2)C1,0,,
COc1cccc(CN2CCCN(C(C)=O)c3ccccc3CN(C(=O)Cn3cncn3)CC2)c1,0,,
Cc1cc(CNC(=O)CN2CCC3(CCCCc4ccccc4OCCCNC3=O)CC2)[nH]n1,0,,
CCN1CCOc2ccccc2CCCCC2(CCN(C(=O)CC3C(=O)NCCN3C3CCCC3)CC2)C1=O,0,,
CN1CCOc2ccccc2CCCCC2(CCN(C(=O)c3cc(N4CCOCC4)ccc3Cl)CC2)C1=O,0,,
Cc1ccc2c(c1)OCCCNC(=O)C1(CCCCNC2=O)CCN(C(=O)c2nc(C)sc2-c2ccccc2)CC1,0,,
